epoch,train_loss,val_threshold,val_acc,val_balanced_acc,val_precision,val_recall,val_f1,val_auroc,val_auprc,val_tn,val_fp,val_fn,val_tp
1,0.0923433917760849,0.45,0.7079037800687286,0.6742591662481165,0.6344086021505376,0.5363636363636364,0.5812807881773399,0.6670517327975891,0.5730957043651304,147,34,51,59
2,0.06789793461561203,0.45,0.7491408934707904,0.6681818181818182,1.0,0.33636363636363636,0.5034013605442177,0.5433952787543948,0.598694184703044,181,0,73,37
3,0.07387339234352112,0.45,0.7010309278350515,0.6241587142139629,0.7555555555555555,0.3090909090909091,0.43870967741935485,0.871320944249121,0.7212313242540893,170,11,76,34
4,0.062065577805042266,0.4,0.7835051546391752,0.8045705675539929,0.6577181208053692,0.8909090909090909,0.7567567567567568,0.8253641386238071,0.6593487035118479,130,51,12,98
5,0.058800462484359745,0.4,0.5773195876288659,0.6263435459568056,0.4666666666666667,0.8272727272727273,0.5967213114754099,0.793119035660472,0.8173757087435151,77,104,19,91
6,0.056036688685417176,0.45,0.697594501718213,0.7069814163736816,0.5774647887323944,0.7454545454545455,0.6507936507936508,0.7487192365645405,0.7857171703074298,121,60,28,82
7,0.05330800324678421,0.45,0.8178694158075601,0.814364640883978,0.7394957983193278,0.8,0.7685589519650655,0.8558513309894524,0.8806380789303336,150,31,22,88
8,0.05546890556812287,0.45,0.7869415807560137,0.775238573581115,0.7142857142857143,0.7272727272727273,0.7207207207207207,0.8301356102461074,0.8361194445542086,149,32,30,80
9,0.04969823718070984,0.45,0.7697594501718213,0.7382471120040182,0.7362637362637363,0.6090909090909091,0.6666666666666666,0.7786037167252636,0.7871716081262723,157,24,43,67
10,0.050766581594944,0.45,0.7594501718213058,0.756705173279759,0.6612903225806451,0.7454545454545455,0.7008547008547008,0.7810647915620292,0.8066241594750196,139,42,28,82
11,0.044703250527381895,0.4,0.8109965635738832,0.8052737317930688,0.7350427350427351,0.7818181818181819,0.7577092511013216,0.8917127071823204,0.8840544501676172,150,31,24,86
12,0.03917148023843765,0.3,0.7079037800687286,0.7420140632847816,0.5739644970414202,0.8818181818181818,0.6953405017921147,0.8337518834756404,0.7944916155517585,109,72,13,97
