epoch,train_loss,val_threshold,val_acc,val_balanced_acc,val_precision,val_recall,val_f1,val_auroc,val_auprc,val_tn,val_fp,val_fn,val_tp
1,0.061103789088053584,0.45,0.8820960698689956,0.7646754143646408,0.8181818181818182,0.5625,0.6666666666666666,0.7475828729281767,0.6906352390783872,175,6,21,27
2,0.020770263846199483,0.25,0.9694323144104804,0.9347375690607735,0.9767441860465116,0.875,0.9230769230769231,0.997122467771639,0.9896489301772996,180,1,6,42
3,0.01002793275536253,0.2,0.9388646288209607,0.8541666666666667,1.0,0.7083333333333334,0.8292682926829268,0.9972375690607734,0.9902537434528654,181,0,14,34
4,0.0058510049413412046,0.15,0.9737991266375546,0.9681169429097606,0.92,0.9583333333333334,0.9387755102040817,0.998158379373849,0.993562414839589,177,4,2,46
5,0.011266254354268312,0.15,0.982532751091703,0.988950276243094,0.9230769230769231,1.0,0.96,1.0,1.0,177,4,0,48
6,0.005054099891239252,0.2,0.9956331877729258,0.9972375690607735,0.9795918367346939,1.0,0.9896907216494846,0.9991942909760589,0.9968236972566441,180,1,0,48
7,0.003519709842900435,0.25,0.9868995633187773,0.9917127071823204,0.9411764705882353,1.0,0.9696969696969697,0.9990791896869246,0.9963276655106125,178,3,0,48
8,0.003583556530662836,0.35,0.9956331877729258,0.9972375690607735,0.9795918367346939,1.0,0.9896907216494846,0.9991942909760589,0.9968236972566441,180,1,0,48
9,0.002830918827571739,0.5,0.9956331877729258,0.9972375690607735,0.9795918367346939,1.0,0.9896907216494846,0.9998848987108656,0.999574829931973,180,1,0,48
10,0.0017182318410143638,0.6,0.9956331877729258,0.9972375690607735,0.9795918367346939,1.0,0.9896907216494846,0.9998848987108656,0.999574829931973,180,1,0,48
11,0.001298475544899702,0.7,0.9956331877729258,0.9972375690607735,0.9795918367346939,1.0,0.9896907216494846,1.0,1.0,180,1,0,48
