epoch,train_loss,val_threshold,val_acc,val_balanced_acc,val_precision,val_recall,val_f1,val_auroc,val_auprc,val_tn,val_fp,val_fn,val_tp
1,0.06425369009375573,0.7,0.8237885462555066,0.5895387941388422,0.75,0.1956521739130435,0.3103448275862069,0.4788613980302666,0.34357124708219267,178,3,37,9
2,0.027713335379958154,0.55,0.947136563876652,0.9668508287292817,0.7931034482758621,1.0,0.8846153846153846,0.9703338938265673,0.8142106655010228,169,12,0,46
3,0.020385328978300095,0.55,0.9515418502202643,0.9696132596685083,0.8070175438596491,1.0,0.8932038834951457,0.9720153735287053,0.8271725049794153,170,11,0,46
4,0.013887926638126373,0.55,0.9559471365638766,0.9723756906077348,0.8214285714285714,1.0,0.9019607843137255,0.9730963247657939,0.833997875599681,171,10,0,46
5,0.016609526574611663,0.55,0.9559471365638766,0.9723756906077348,0.8214285714285714,1.0,0.9019607843137255,0.9735767475378333,0.8276778687293742,171,10,0,46
6,0.0137313611805439,0.4,0.947136563876652,0.9668508287292817,0.7931034482758621,1.0,0.8846153846153846,0.971534950756666,0.803815767318195,169,12,0,46
7,0.008728314451873302,0.4,0.9647577092511013,0.9779005524861879,0.8518518518518519,1.0,0.92,0.9750180158539514,0.8205854119883884,173,8,0,46
8,0.018288679122924804,0.25,0.9515418502202643,0.9696132596685083,0.8070175438596491,1.0,0.8932038834951457,0.9736968532308432,0.8218401757539456,170,11,0,46
9,0.01801098808646202,0.3,0.9647577092511013,0.9779005524861879,0.8518518518518519,1.0,0.92,0.97621907278405,0.8510664071474503,173,8,0,46
10,0.014615347902290523,0.3,0.960352422907489,0.9751381215469613,0.8363636363636363,1.0,0.9108910891089109,0.9770598126351189,0.8551634592592017,172,9,0,46
11,0.008548773135989904,0.4,0.960352422907489,0.9751381215469613,0.8363636363636363,1.0,0.9108910891089109,0.9760989670910402,0.8310324652081791,172,9,0,46
12,0.006687527447938919,0.25,0.9427312775330396,0.9640883977900552,0.7796610169491526,1.0,0.8761904761904762,0.9721354792217152,0.8205366296009728,168,13,0,46
