epoch,train_loss,val_threshold,val_acc,val_balanced_acc,val_precision,val_recall,val_f1,val_auroc,val_auprc,val_tn,val_fp,val_fn,val_tp
1,0.1074830228742212,0.1,0.47230320699708456,0.5,0.47230320699708456,1.0,0.6415841584158416,0.009378623559102375,0.2877847859601121,0,181,0,162
2,0.0003844275115989149,0.8,0.5276967930029155,0.5,0.0,0.0,0.0,0.032262465043312184,0.2897333352524246,181,0,162,0
3,0.00010466316161910072,0.9,0.5276967930029155,0.5,0.0,0.0,0.0,0.0383670963781461,0.29057521032041467,181,0,162,0
4,6.41781257581897e-05,0.9,0.5276967930029155,0.5,0.0,0.0,0.0,0.043175772457540416,0.2912301227081767,181,0,162,0
5,5.0684958696365354e-05,0.9,0.5276967930029155,0.5,0.0,0.0,0.0,0.05221335515994817,0.29280707129918826,181,0,162,0
6,4.358858161140233e-05,0.9,0.5276967930029155,0.5,0.0,0.0,0.0,0.07015210422208581,0.29659046598420313,181,0,162,0
