epoch,train_loss,val_threshold,val_acc,val_balanced_acc,val_precision,val_recall,val_f1,val_auroc,val_auprc,val_tn,val_fp,val_fn,val_tp
1,0.10136137336492539,0.7,0.7216494845360825,0.708488196885987,0.6260869565217392,0.6545454545454545,0.64,0.6324962330487194,0.5184700390952097,138,43,38,72
2,0.08319929093122483,0.45,0.6632302405498282,0.722149673530889,0.53,0.9636363636363636,0.6838709677419355,0.7984932194876946,0.584394986286557,87,94,4,106
3,0.05878654271364212,0.55,0.7903780068728522,0.7762179809141134,0.7247706422018348,0.7181818181818181,0.7214611872146118,0.8415369161225515,0.6902256437715131,151,30,31,79
4,0.04951822340488434,0.7,0.845360824742268,0.8221998995479658,0.8421052631578947,0.7272727272727273,0.7804878048780488,0.86449020592667,0.8528372696135235,166,15,30,80
5,0.05566764235496521,0.65,0.852233676975945,0.833073832245103,0.8383838383838383,0.7545454545454545,0.7942583732057417,0.9012054244098444,0.8840280203322919,165,16,27,83
6,0.039773580133914944,0.6,0.865979381443299,0.8476896032144651,0.8585858585858586,0.7727272727272727,0.8133971291866029,0.9268206931190357,0.9035587575000237,167,14,25,85
7,0.03896436363458634,0.4,0.9037800687285223,0.9208689100954295,0.8014705882352942,0.990909090909091,0.8861788617886179,0.9642390758412858,0.941114616286188,154,27,1,109
8,0.038383522629737855,0.45,0.9347079037800687,0.9439477649422401,0.864,0.9818181818181818,0.9191489361702128,0.9731793068809644,0.9531502862599754,164,17,2,108
9,0.04171744033694267,0.45,0.9278350515463918,0.9384229030637871,0.8503937007874016,0.9818181818181818,0.9113924050632911,0.9725263686589654,0.9537427064743706,162,19,2,108
10,0.03665252909064293,0.4,0.9209621993127147,0.9097187343043697,0.9223300970873787,0.8636363636363636,0.892018779342723,0.9709191361125062,0.9610152640856104,173,8,15,95
11,0.032988806515932084,0.45,0.9175257731958762,0.9105223505775992,0.8981481481481481,0.8818181818181818,0.8899082568807339,0.9728779507785033,0.9655952600462362,170,11,13,97
12,0.02866645148023963,0.5,0.9312714776632303,0.9394023103967856,0.8629032258064516,0.9727272727272728,0.9145299145299145,0.9775489703666499,0.9651351342885,164,17,3,107
13,0.02879763439297676,0.25,0.9656357388316151,0.9670266197890507,0.9385964912280702,0.9727272727272728,0.9553571428571429,0.9815168257157207,0.9811109498017917,174,7,3,107
14,0.03239215239882469,0.5,0.979381443298969,0.9745102963335008,0.9905660377358491,0.9545454545454546,0.9722222222222222,0.9865896534404822,0.9867350871046641,180,1,5,105
15,0.037224979996681215,0.4,0.979381443298969,0.9745102963335008,0.9905660377358491,0.9545454545454546,0.9722222222222222,0.9842792566549472,0.9865161981402124,180,1,5,105
16,0.03144568175077438,0.2,0.8762886597938144,0.8934203917629332,0.7681159420289855,0.9636363636363636,0.8548387096774194,0.9414866901054747,0.9213069500024776,149,32,4,106
17,0.02503389835357666,0.45,0.9725085910652921,0.9672024108488197,0.9811320754716981,0.9454545454545454,0.9629629629629629,0.9765946760421899,0.980631810062957,179,2,6,104
18,0.02715751647949219,0.3,0.9621993127147767,0.9571320944249121,0.9626168224299065,0.9363636363636364,0.9493087557603687,0.9712204922149673,0.9752243889840239,177,4,7,103
19,0.030301599577069283,0.5,0.9450171821305842,0.9468859869412356,0.9051724137931034,0.9545454545454546,0.9292035398230089,0.9876946258161728,0.9860195391148544,170,11,5,105
