epoch,train_loss,val_threshold,val_acc,val_balanced_acc,val_precision,val_recall,val_f1,val_auroc,val_auprc,val_tn,val_fp,val_fn,val_tp
1,0.10805044174194336,0.45,0.7250859106529209,0.680939226519337,0.6875,0.5,0.5789473684210527,0.6585635359116022,0.5713398721204848,156,25,55,55
2,0.06885874330997467,0.35,0.718213058419244,0.6540180813661477,0.7413793103448276,0.39090909090909093,0.5119047619047619,0.6507785032646911,0.6508144666108495,166,15,67,43
3,0.06696615919470787,0.45,0.7422680412371134,0.6590909090909091,1.0,0.3181818181818182,0.4827586206896552,0.5505273731793069,0.598703196762913,181,0,75,35
4,0.056100085973739625,0.45,0.7628865979381443,0.6863636363636364,1.0,0.37272727272727274,0.543046357615894,0.5896534404821697,0.6319666706742942,181,0,69,41
5,0.054628938138484955,0.45,0.7697594501718213,0.6954545454545454,1.0,0.39090909090909093,0.5620915032679739,0.6976393771973882,0.702680581154445,181,0,67,43
6,0.04223346203565598,0.3,0.7422680412371134,0.7428930185836263,0.6356589147286822,0.7454545454545455,0.6861924686192469,0.8008036162732295,0.7922887338027895,134,47,28,82
7,0.04622934505343437,0.3,0.7903780068728522,0.7851330989452536,0.7058823529411765,0.7636363636363637,0.7336244541484717,0.8409342039176294,0.8391603417656839,146,35,26,84
8,0.04168234817683697,0.3,0.845360824742268,0.8239829231541939,0.8350515463917526,0.7363636363636363,0.782608695652174,0.8918633852335509,0.8734957104504878,165,16,29,81
9,0.04206616893410683,0.5,0.8831615120274914,0.8597187343043697,0.9130434782608695,0.7636363636363637,0.8316831683168316,0.9511803114013059,0.9354022382451452,173,8,26,84
10,0.046403041779994963,0.2,0.865979381443299,0.8726519337016574,0.7795275590551181,0.9,0.8354430379746836,0.9676042189854345,0.9555272621316464,153,28,11,99
11,0.04043473422527313,0.25,0.8797250859106529,0.8997488699146158,0.7659574468085106,0.9818181818181818,0.8605577689243028,0.9705173279758916,0.9592443028917144,148,33,2,108
12,0.03976473294198513,0.25,0.8865979381443299,0.9070567553992969,0.7730496453900709,0.990909090909091,0.8685258964143426,0.976544450025113,0.9660328949391277,149,32,1,109
13,0.03428387150168419,0.4,0.9106529209621993,0.8889502762430939,0.9565217391304348,0.8,0.8712871287128713,0.9598191863385235,0.9489102036414652,177,4,22,88
14,0.0336921951174736,0.3,0.8831615120274914,0.8704168759417379,0.8653846153846154,0.8181818181818182,0.8411214953271028,0.9414866901054746,0.9314169038315793,167,14,20,90
15,0.03269010841846466,0.3,0.9140893470790378,0.8934957307885485,0.956989247311828,0.8090909090909091,0.8768472906403941,0.9658463083877449,0.9546838064219465,177,4,21,89
16,0.032690221183001994,0.6,0.9175257731958762,0.8909090909090909,1.0,0.7818181818181819,0.8775510204081632,0.9668508287292817,0.9560198913700801,181,0,24,86
17,0.03233683332800865,0.4,0.8969072164948454,0.8707684580612758,0.9545454545454546,0.7636363636363637,0.8484848484848485,0.9536413862380714,0.9410462648551813,177,4,26,84
