epoch,train_loss,val_threshold,val_acc,val_balanced_acc,val_precision,val_recall,val_f1,val_auroc,val_auprc,val_tn,val_fp,val_fn,val_tp
1,0.10908661127090453,0.6,0.7004405286343612,0.8121546961325967,0.40350877192982454,1.0,0.575,0.9512370886380015,0.8017629845731221,113,68,0,46
2,0.03506080910563469,0.75,0.9295154185022027,0.9152654335815518,0.7884615384615384,0.8913043478260869,0.8367346938775511,0.9680518856593802,0.8220709242325664,170,11,5,41
3,0.028675050884485246,0.65,0.9427312775330396,0.9640883977900552,0.7796610169491526,1.0,0.8761904761904762,0.9699735767475378,0.8276934868149523,168,13,0,46
4,0.01843376822769642,0.6,0.947136563876652,0.9668508287292817,0.7931034482758621,1.0,0.8846153846153846,0.9721354792217151,0.8417568206919551,169,12,0,46
5,0.011746606677770615,0.6,0.947136563876652,0.9668508287292817,0.7931034482758621,1.0,0.8846153846153846,0.974657698774922,0.8634231918890068,169,12,0,46
6,0.016548814736306667,0.75,0.9383259911894273,0.9613259668508287,0.7666666666666667,1.0,0.8679245283018868,0.9855873168388182,0.9461953818336906,167,14,0,46
7,0.011047043800354005,0.75,0.9647577092511013,0.9779005524861879,0.8518518518518519,1.0,0.92,0.9855873168388182,0.9401404237956179,173,8,0,46
8,0.016598940566182135,0.75,0.9383259911894273,0.9532188325726639,0.7758620689655172,0.9782608695652174,0.8653846153846154,0.9835455200576507,0.9365809304584285,168,13,1,45
9,0.03262650290504098,0.8,0.9559471365638766,0.9723756906077348,0.8214285714285714,1.0,0.9019607843137255,0.9891904876291137,0.9567370137164919,171,10,0,46
10,0.009547509993426502,0.4,0.9251101321585903,0.9530386740331491,0.7301587301587301,1.0,0.8440366972477065,0.9630074465529667,0.8029991385889248,164,17,0,46
11,0.012146065165288746,0.25,0.9118942731277533,0.9447513812154695,0.696969696969697,1.0,0.8214285714285714,0.9554407878933462,0.7520949108739106,161,20,0,46
12,0.007201296128332615,0.35,0.920704845814978,0.9502762430939227,0.71875,1.0,0.8363636363636363,0.9590439586836416,0.7625598262038541,163,18,0,46
