epoch,train_loss,val_threshold,val_acc,val_balanced_acc,val_precision,val_recall,val_f1,val_auroc,val_auprc,val_tn,val_fp,val_fn,val_tp
1,0.08616034403631959,0.75,0.7763713080168776,0.8535911602209945,0.5137614678899083,1.0,0.6787878787878788,0.9389305445935281,0.8590575524841331,128,53,0,56
2,0.03058414689347714,0.45,0.8776371308016878,0.913723362273086,0.6626506024096386,0.9821428571428571,0.7913669064748201,0.9593528018942383,0.8962472311938644,153,28,1,55
3,0.022710870173347147,0.3,0.9409282700421941,0.9366614048934492,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9904301499605367,0.9749048890754485,171,10,4,52
4,0.023571977185533395,0.2,0.9662447257383966,0.9779005524861879,0.875,1.0,0.9333333333333333,0.9993093922651934,0.997810080113827,173,8,0,56
5,0.01728962781497195,0.2,0.9831223628691983,0.988950276243094,0.9333333333333333,1.0,0.9655172413793104,0.999802683504341,0.9993678392409597,177,4,0,56
6,0.011519377998111747,0.3,0.9915611814345991,0.994475138121547,0.9655172413793104,1.0,0.9824561403508771,0.999802683504341,0.9993842364532022,179,2,0,56
7,0.006512387909136618,0.45,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,181,0,0,56
8,0.005454112472059795,0.45,0.9957805907172996,0.9972375690607735,0.9824561403508771,1.0,0.9911504424778761,1.0,1.0000000000000002,180,1,0,56
9,0.004682492839078171,0.5,0.9957805907172996,0.9972375690607735,0.9824561403508771,1.0,0.9911504424778761,0.9999013417521705,0.9996867167919802,180,1,0,56
10,0.005147575377191924,0.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,181,0,0,56
11,0.0017287950016723216,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,181,0,0,56
12,0.0013121505219288925,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,181,0,0,56
