epoch,train_loss,val_threshold,val_acc,val_balanced_acc,val_precision,val_recall,val_f1,val_auroc,val_auprc,val_tn,val_fp,val_fn,val_tp
1,0.0439756887499243,0.15,0.6351791530944625,0.6375515215294221,0.5466666666666666,0.6507936507936508,0.5942028985507246,0.6557484872402,0.4519618583634305,113,68,44,82
2,0.0004638611664995551,0.55,0.5895765472312704,0.5,0.0,0.0,0.0,0.04327808471454879,0.24543651728225663,181,0,126,0
3,0.0001084698864724487,0.7,0.5895765472312704,0.5,0.0,0.0,0.0,0.029685170569148482,0.2446040180230737,181,0,126,0
4,5.578298558248207e-05,0.8,0.5895765472312704,0.5,0.0,0.0,0.0,0.022976409716741232,0.2449840238025776,181,0,126,0
5,3.874262809404172e-05,0.85,0.5895765472312704,0.5,0.0,0.0,0.0,0.026571954748750355,0.24574863707652916,181,0,126,0
6,3.0021614002180285e-05,0.9,0.5895765472312704,0.5,0.0,0.0,0.0,0.03332456371130406,0.24667321924440588,181,0,126,0
