epoch,train_loss,val_threshold,val_acc,val_balanced_acc,val_precision,val_recall,val_f1,val_auroc,val_auprc,val_tn,val_fp,val_fn,val_tp
1,0.04600939819589257,0.1,0.4217252396166134,0.5,0.4217252396166134,1.0,0.5932584269662922,0.2390339862715553,0.2940021266172602,0,181,0,132
2,0.0017283904179930688,0.1,0.4217252396166134,0.5,0.4217252396166134,1.0,0.5932584269662922,0.2727691277415034,0.3051501041467792,0,181,0,132
3,0.0004637175129028037,0.1,0.4217252396166134,0.5,0.4217252396166134,1.0,0.5932584269662922,0.27536413862380715,0.3055744252774233,0,181,0,132
4,0.00033501649042591455,0.1,0.4217252396166134,0.5,0.4217252396166134,1.0,0.5932584269662922,0.2703415369161225,0.30803115866981684,0,181,0,132
5,0.00013426208810415118,0.2,0.5782747603833865,0.5,0.0,0.0,0.0,0.24518667336346894,0.30073423594820187,181,0,132,0
6,0.00014966443530283868,0.2,0.5782747603833865,0.5,0.0,0.0,0.0,0.26217980914113515,0.3210224956244429,181,0,132,0
